---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024329 seconds, query time 53.875081 seconds,
ID 52, src 15708, dst 891, status Complete, result count 470691573, preprocessing time 0.017537 seconds, query time 10.189145 seconds,
ID 53, src 2535, dst 208, status Complete, result count 15441615442, preprocessing time 0.020519 seconds, query time 221.756479 seconds,
ID 54, src 2025, dst 15529, status Complete, result count 441706934, preprocessing time 0.018176 seconds, query time 10.334464 seconds,
ID 55, src 6330, dst 12644, status Complete, result count 22632279, preprocessing time 0.015198 seconds, query time 0.634983 seconds,
ID 56, src 51100, dst 978, status Complete, result count 10581346, preprocessing time 0.011974 seconds, query time 0.214466 seconds,
ID 57, src 2980, dst 14005, status Complete, result count 4497426430, preprocessing time 0.018673 seconds, query time 102.274245 seconds,
ID 58, src 13368, dst 3937, status Complete, result count 78937502, preprocessing time 0.015848 seconds, query time 1.753992 seconds,
ID 59, src 3064, dst 20842, status Complete, result count 631296344, preprocessing time 0.017577 seconds, query time 13.933681 seconds,
ID 60, src 4721, dst 10265, status Complete, result count 22513794, preprocessing time 0.015227 seconds, query time 0.847357 seconds,
ID 61, src 5354, dst 7565, status Complete, result count 401400026, preprocessing time 0.016373 seconds, query time 8.963562 seconds,
ID 62, src 15807, dst 3817, status Complete, result count 96204386, preprocessing time 0.015554 seconds, query time 2.476516 seconds,
ID 63, src 2083, dst 2417, status Complete, result count 44037312, preprocessing time 0.013298 seconds, query time 1.583978 seconds,
ID 64, src 5020, dst 46113, status Complete, result count 7012025, preprocessing time 0.013549 seconds, query time 0.250928 seconds,
ID 65, src 10436, dst 1604, status Complete, result count 1856593981, preprocessing time 0.017687 seconds, query time 31.174537 seconds,
ID 66, src 3885, dst 11600, status Complete, result count 821141870, preprocessing time 0.018413 seconds, query time 18.483079 seconds,
ID 67, src 5248, dst 46112, status Complete, result count 56200983, preprocessing time 0.018318 seconds, query time 1.929585 seconds,
ID 68, src 14108, dst 19236, status Complete, result count 109620830, preprocessing time 0.015894 seconds, query time 2.587611 seconds,
ID 69, src 3009, dst 19221, status Complete, result count 197660082, preprocessing time 0.014469 seconds, query time 4.768515 seconds,
ID 70, src 682, dst 7471, status Complete, result count 1069515858, preprocessing time 0.019484 seconds, query time 24.514625 seconds,
ID 71, src 3963, dst 21668, status Complete, result count 12575491, preprocessing time 0.016050 seconds, query time 0.459922 seconds,
ID 72, src 1232, dst 9845, status Complete, result count 11038325634, preprocessing time 0.019732 seconds, query time 120.648984 seconds,
ID 73, src 1280, dst 10432, status Complete, result count 136623035, preprocessing time 0.017400 seconds, query time 4.566037 seconds,
ID 74, src 2747, dst 8798, status Complete, result count 443052048, preprocessing time 0.018606 seconds, query time 7.828321 seconds,
ID 75, src 7095, dst 2804, status Complete, result count 7487936512, preprocessing time 0.019544 seconds, query time 93.020046 seconds,
ID 76, src 3173, dst 18003, status Complete, result count 429246848, preprocessing time 0.019578 seconds, query time 10.277837 seconds,
ID 77, src 6697, dst 5108, status Complete, result count 289113351, preprocessing time 0.015439 seconds, query time 6.312986 seconds,
ID 78, src 12244, dst 18205, status Complete, result count 78973868, preprocessing time 0.014505 seconds, query time 1.815243 seconds,
ID 79, src 1006, dst 3897, status Complete, result count 2122736725, preprocessing time 0.018557 seconds, query time 42.564391 seconds,
ID 80, src 21310, dst 5426, status Complete, result count 1289158241, preprocessing time 0.021976 seconds, query time 28.820817 seconds,
ID 81, src 18125, dst 3703, status Complete, result count 5070936650, preprocessing time 0.022833 seconds, query time 69.418958 seconds,
ID 82, src 22546, dst 926, status Complete, result count 1733797563, preprocessing time 0.020451 seconds, query time 23.739391 seconds,
ID 83, src 24188, dst 310, status Complete, result count 3204387998, preprocessing time 0.018375 seconds, query time 21.724313 seconds,
ID 84, src 2582, dst 11271, status Complete, result count 258284925, preprocessing time 0.019724 seconds, query time 5.990479 seconds,
ID 85, src 8020, dst 19324, status Complete, result count 54860145, preprocessing time 0.015449 seconds, query time 1.546947 seconds,
ID 86, src 3591, dst 1313, status Complete, result count 8316366183, preprocessing time 0.018294 seconds, query time 92.866002 seconds,
ID 87, src 6472, dst 6173, status Complete, result count 2268716731, preprocessing time 0.019232 seconds, query time 39.482127 seconds,
ID 88, src 6027, dst 12955, status Complete, result count 87156839, preprocessing time 0.016041 seconds, query time 2.161545 seconds,
ID 89, src 60380, dst 2810, status Complete, result count 1988686, preprocessing time 0.010212 seconds, query time 0.040417 seconds,
ID 90, src 2469, dst 5911, status Complete, result count 471640855, preprocessing time 0.013887 seconds, query time 8.686589 seconds,
ID 91, src 6417, dst 50956, status Complete, result count 812899, preprocessing time 0.010223 seconds, query time 0.028857 seconds,
ID 92, src 29, dst 32424, status Complete, result count 832631714, preprocessing time 0.016879 seconds, query time 22.169247 seconds,
ID 93, src 10858, dst 20530, status Complete, result count 74743709, preprocessing time 0.016643 seconds, query time 1.722560 seconds,
ID 94, src 23814, dst 763, status Complete, result count 10282406, preprocessing time 0.013259 seconds, query time 0.172021 seconds,
ID 95, src 14790, dst 2909, status Complete, result count 937093579, preprocessing time 0.017703 seconds, query time 15.123647 seconds,
ID 96, src 6871, dst 4910, status Complete, result count 421577313, preprocessing time 0.014324 seconds, query time 8.477958 seconds,
ID 97, src 4544, dst 3888, status Complete, result count 920950643, preprocessing time 0.018404 seconds, query time 21.143496 seconds,
ID 98, src 14948, dst 1582, status Complete, result count 1323156989, preprocessing time 0.020517 seconds, query time 24.572716 seconds,
ID 99, src 4688, dst 8441, status Complete, result count 340451010, preprocessing time 0.017606 seconds, query time 8.839573 seconds,
ID 100, src 7314, dst 2075, status Complete, result count 2222715141, preprocessing time 0.019591 seconds, query time 23.675692 seconds,
ID 101, src 13046, dst 226, status Complete, result count 77630124, preprocessing time 0.016350 seconds, query time 1.723074 seconds,
ID 102, src 14812, dst 4908, status Complete, result count 107698407, preprocessing time 0.015949 seconds, query time 2.111957 seconds,
ID 103, src 4085, dst 208, status Complete, result count 2226691146, preprocessing time 0.019015 seconds, query time 32.157908 seconds,
ID 104, src 6299, dst 15814, status Complete, result count 254669785, preprocessing time 0.017741 seconds, query time 5.516420 seconds,
ID 105, src 4360, dst 25825, status Complete, result count 15962603, preprocessing time 0.015840 seconds, query time 0.543804 seconds,
ID 106, src 8684, dst 15213, status Complete, result count 87049053, preprocessing time 0.014646 seconds, query time 2.212106 seconds,
ID 107, src 379, dst 4523, status Complete, result count 9951450970, preprocessing time 0.020392 seconds, query time 190.632705 seconds,
ID 108, src 3544, dst 9087, status Complete, result count 1844403138, preprocessing time 0.020756 seconds, query time 35.170616 seconds,
ID 109, src 6779, dst 408, status Complete, result count 27414305165, preprocessing time 0.021040 seconds, query time 147.038612 seconds,
ID 110, src 349, dst 6817, status Complete, result count 2167462406, preprocessing time 0.020280 seconds, query time 49.450758 seconds,
ID 111, src 5094, dst 1319, status Complete, result count 6990008903, preprocessing time 0.019181 seconds, query time 81.932466 seconds,
ID 112, src 1751, dst 2984, status Complete, result count 18600466851, preprocessing time 0.020176 seconds, query time 256.827340 seconds,
ID 113, src 5272, dst 13227, status Complete, result count 547591291, preprocessing time 0.017597 seconds, query time 12.195190 seconds,
ID 114, src 23987, dst 14543, status Complete, result count 8401609, preprocessing time 0.013889 seconds, query time 0.193667 seconds,
ID 115, src 161, dst 4783, status Complete, result count 7129284737, preprocessing time 0.017585 seconds, query time 135.052616 seconds,
ID 116, src 14629, dst 5182, status Complete, result count 301649477, preprocessing time 0.015711 seconds, query time 6.400911 seconds,
ID 117, src 3602, dst 14869, status Complete, result count 49182922, preprocessing time 0.014547 seconds, query time 1.103200 seconds,
ID 118, src 10386, dst 4618, status Complete, result count 566378025, preprocessing time 0.017340 seconds, query time 12.156778 seconds,
ID 119, src 7208, dst 7293, status Complete, result count 334732401, preprocessing time 0.015846 seconds, query time 7.714020 seconds,
ID 120, src 255, dst 5308, status Complete, result count 3124891672, preprocessing time 0.019157 seconds, query time 55.557931 seconds,
ID 121, src 1129, dst 68, status Complete, result count 96497570248, preprocessing time 0.022819 seconds, query time 463.318037 seconds,
ID 122, src 29187, dst 2517, status Complete, result count 412514366, preprocessing time 0.019675 seconds, query time 7.037490 seconds,
ID 123, src 6878, dst 1946, status Complete, result count 2282799364, preprocessing time 0.019037 seconds, query time 43.725856 seconds,
ID 124, src 744, dst 7609, status Complete, result count 1267604537, preprocessing time 0.019579 seconds, query time 20.932888 seconds,
ID 125, src 19138, dst 47053, status Complete, result count 342409, preprocessing time 0.010386 seconds, query time 0.018344 seconds,
ID 126, src 325, dst 2970, status Complete, result count 3094015477, preprocessing time 0.018712 seconds, query time 65.116838 seconds,
ID 127, src 11052, dst 18909, status Complete, result count 168483175, preprocessing time 0.016190 seconds, query time 4.052645 seconds,
ID 128, src 18794, dst 3876, status Complete, result count 67572001, preprocessing time 0.015703 seconds, query time 1.320363 seconds,
ID 129, src 10184, dst 5803, status Complete, result count 564248011, preprocessing time 0.019502 seconds, query time 12.506374 seconds,
ID 130, src 12590, dst 20357, status Complete, result count 6489786, preprocessing time 0.015175 seconds, query time 0.215713 seconds,
ID 131, src 2055, dst 22355, status Complete, result count 619105216, preprocessing time 0.016422 seconds, query time 14.714044 seconds,
ID 132, src 11780, dst 23845, status Complete, result count 4444248, preprocessing time 0.011506 seconds, query time 0.112842 seconds,
ID 133, src 22951, dst 29626, status Complete, result count 94587000, preprocessing time 0.013115 seconds, query time 2.232505 seconds,
ID 134, src 22696, dst 4424, status Complete, result count 192222913, preprocessing time 0.017840 seconds, query time 4.396434 seconds,
ID 135, src 1435, dst 9810, status Complete, result count 1813607547, preprocessing time 0.017960 seconds, query time 38.474340 seconds,
ID 136, src 3784, dst 21067, status Complete, result count 9450285, preprocessing time 0.013794 seconds, query time 0.309532 seconds,
ID 137, src 6245, dst 3932, status Complete, result count 9399900194, preprocessing time 0.020444 seconds, query time 112.751648 seconds,
ID 138, src 1433, dst 8276, status Complete, result count 108380663, preprocessing time 0.018460 seconds, query time 3.013188 seconds,
ID 139, src 2943, dst 7722, status Complete, result count 1592616739, preprocessing time 0.019914 seconds, query time 36.658450 seconds,
ID 140, src 3277, dst 9775, status Complete, result count 14724866126, preprocessing time 0.019385 seconds, query time 215.017790 seconds,
ID 141, src 3857, dst 4532, status Complete, result count 294137169, preprocessing time 0.015682 seconds, query time 6.170209 seconds,
ID 142, src 23451, dst 4407, status Complete, result count 69699368, preprocessing time 0.015231 seconds, query time 1.549240 seconds,
ID 143, src 2992, dst 14729, status Complete, result count 187814051, preprocessing time 0.015799 seconds, query time 3.880344 seconds,
ID 144, src 13822, dst 8182, status Complete, result count 858873510, preprocessing time 0.018865 seconds, query time 16.225330 seconds,
ID 145, src 12307, dst 10376, status Complete, result count 72286755, preprocessing time 0.014909 seconds, query time 1.807880 seconds,
ID 146, src 6027, dst 1233, status Complete, result count 859031497, preprocessing time 0.018098 seconds, query time 14.159333 seconds,
ID 147, src 3531, dst 32065, status Complete, result count 33676530, preprocessing time 0.016506 seconds, query time 1.165563 seconds,
ID 148, src 13216, dst 4963, status Complete, result count 2359406266, preprocessing time 0.019002 seconds, query time 42.687466 seconds,
ID 149, src 1947, dst 1239, status Complete, result count 989873367, preprocessing time 0.018615 seconds, query time 19.956392 seconds,
ID 150, src 6103, dst 5459, status Complete, result count 645140469, preprocessing time 0.016035 seconds, query time 13.090968 seconds,
ID 151, src 3134, dst 10489, status Complete, result count 1695343930, preprocessing time 0.018689 seconds, query time 38.172721 seconds,
ID 152, src 19819, dst 21634, status Complete, result count 24612935, preprocessing time 0.016614 seconds, query time 0.634874 seconds,
ID 153, src 4963, dst 2157, status Complete, result count 6645309252, preprocessing time 0.022044 seconds, query time 127.903118 seconds,
ID 154, src 9511, dst 2950, status Complete, result count 686413604, preprocessing time 0.020884 seconds, query time 13.306051 seconds,
ID 155, src 25198, dst 2560, status Complete, result count 2186013589, preprocessing time 0.021231 seconds, query time 23.021793 seconds,
ID 156, src 36957, dst 7644, status Complete, result count 33408887, preprocessing time 0.016134 seconds, query time 0.742570 seconds,
ID 157, src 6559, dst 9642, status Complete, result count 628098850, preprocessing time 0.019707 seconds, query time 13.986117 seconds,
ID 158, src 1762, dst 11810, status Complete, result count 3282467600, preprocessing time 0.018701 seconds, query time 71.421288 seconds,
ID 159, src 3132, dst 5833, status Complete, result count 525970226, preprocessing time 0.017978 seconds, query time 11.848293 seconds,
ID 160, src 5335, dst 22855, status Complete, result count 123772091, preprocessing time 0.017671 seconds, query time 2.988986 seconds,
ID 161, src 21365, dst 1862, status Complete, result count 23214457, preprocessing time 0.014886 seconds, query time 0.696746 seconds,
ID 162, src 6514, dst 20728, status Complete, result count 122421994, preprocessing time 0.014793 seconds, query time 3.170608 seconds,
ID 163, src 11568, dst 1221, status Complete, result count 1994885335, preprocessing time 0.018942 seconds, query time 45.212417 seconds,
ID 164, src 6712, dst 10132, status Complete, result count 596251518, preprocessing time 0.021447 seconds, query time 14.030774 seconds,
ID 165, src 1649, dst 15053, status Complete, result count 206325512, preprocessing time 0.019751 seconds, query time 6.135694 seconds,
ID 166, src 5855, dst 1196, status Complete, result count 817253720, preprocessing time 0.015946 seconds, query time 15.094790 seconds,
ID 167, src 661, dst 16893, status Complete, result count 1676352826, preprocessing time 0.020673 seconds, query time 44.878990 seconds,
ID 168, src 19871, dst 4976, status Complete, result count 64990542, preprocessing time 0.017684 seconds, query time 1.132331 seconds,
ID 169, src 6412, dst 21993, status Complete, result count 261177608, preprocessing time 0.019606 seconds, query time 6.105910 seconds,
ID 170, src 4373, dst 71386, status Complete, result count 176684936, preprocessing time 0.014775 seconds, query time 4.083709 seconds,
ID 171, src 8169, dst 5696, status Complete, result count 232495105, preprocessing time 0.015142 seconds, query time 5.480064 seconds,
ID 172, src 2577, dst 1071, status Complete, result count 5621632354, preprocessing time 0.018075 seconds, query time 115.026196 seconds,
ID 173, src 1853, dst 34133, status Complete, result count 13498352, preprocessing time 0.015943 seconds, query time 0.335940 seconds,
ID 174, src 4061, dst 5746, status Complete, result count 832119895, preprocessing time 0.017011 seconds, query time 19.234255 seconds,
ID 175, src 8788, dst 7148, status Complete, result count 844966987, preprocessing time 0.017613 seconds, query time 17.359520 seconds,
ID 176, src 6613, dst 5995, status Complete, result count 1133751787, preprocessing time 0.020509 seconds, query time 27.340927 seconds,
ID 177, src 4527, dst 108, status Complete, result count 95862610829, preprocessing time 0.023104 seconds, query time 494.552321 seconds,
ID 178, src 6701, dst 1908, status Complete, result count 22385220172, preprocessing time 0.023265 seconds, query time 174.754178 seconds,
ID 179, src 14687, dst 618, status Complete, result count 4322127717, preprocessing time 0.021918 seconds, query time 46.187205 seconds,
ID 180, src 5310, dst 4362, status Complete, result count 5392626587, preprocessing time 0.020751 seconds, query time 94.526922 seconds,
ID 181, src 21149, dst 269, status Complete, result count 1805064026, preprocessing time 0.018604 seconds, query time 22.829461 seconds,
ID 182, src 6679, dst 7147, status Complete, result count 33585537, preprocessing time 0.017376 seconds, query time 1.019554 seconds,
ID 183, src 4721, dst 976, status Complete, result count 19021999021, preprocessing time 0.021141 seconds, query time 156.663914 seconds,
ID 184, src 775, dst 551, status Complete, result count 51262321899, preprocessing time 0.022332 seconds, query time 191.508605 seconds,
ID 185, src 8528, dst 33097, status Complete, result count 117700352, preprocessing time 0.020376 seconds, query time 3.304250 seconds,
