---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 53, src 26578, dst 10244, status Complete, result count 10842473, preprocessing time 0.011807 seconds, query time 0.259021 seconds,
ID 54, src 52768, dst 15263, status Complete, result count 59838, preprocessing time 0.008532 seconds, query time 0.010671 seconds,
ID 55, src 20141, dst 36418, status Complete, result count 4484869, preprocessing time 0.012432 seconds, query time 0.158185 seconds,
ID 56, src 8819, dst 11316, status Complete, result count 14376935, preprocessing time 0.015999 seconds, query time 0.357077 seconds,
ID 57, src 13493, dst 57123, status Complete, result count 16093, preprocessing time 0.007363 seconds, query time 0.008366 seconds,
ID 58, src 63585, dst 32500, status Complete, result count 1, preprocessing time 0.000006 seconds, query time 0.000010 seconds,
ID 59, src 48387, dst 73057, status Complete, result count 5146373, preprocessing time 0.013129 seconds, query time 0.160772 seconds,
ID 60, src 32898, dst 74183, status Complete, result count 716704, preprocessing time 0.010339 seconds, query time 0.034533 seconds,
ID 61, src 27535, dst 53804, status Complete, result count 3549, preprocessing time 0.004498 seconds, query time 0.004742 seconds,
ID 62, src 32769, dst 4756, status Complete, result count 29376253, preprocessing time 0.013806 seconds, query time 0.814960 seconds,
ID 63, src 45745, dst 7991, status Complete, result count 558030, preprocessing time 0.012987 seconds, query time 0.028178 seconds,
ID 64, src 16453, dst 18589, status Complete, result count 1780506, preprocessing time 0.009728 seconds, query time 0.065158 seconds,
ID 65, src 61659, dst 45452, status Complete, result count 16457, preprocessing time 0.006427 seconds, query time 0.007048 seconds,
ID 66, src 17407, dst 28376, status Complete, result count 34332, preprocessing time 0.006092 seconds, query time 0.007509 seconds,
ID 67, src 44985, dst 11455, status Complete, result count 657195, preprocessing time 0.009843 seconds, query time 0.029279 seconds,
ID 68, src 47965, dst 12415, status Complete, result count 76113, preprocessing time 0.006259 seconds, query time 0.008064 seconds,
ID 69, src 61489, dst 29788, status Complete, result count 3367, preprocessing time 0.002746 seconds, query time 0.002881 seconds,
ID 70, src 25744, dst 28253, status Complete, result count 2524600, preprocessing time 0.010940 seconds, query time 0.083907 seconds,
ID 71, src 55338, dst 22531, status Complete, result count 84045, preprocessing time 0.007643 seconds, query time 0.010793 seconds,
ID 72, src 41653, dst 2010, status Complete, result count 11375, preprocessing time 0.005468 seconds, query time 0.006141 seconds,
ID 73, src 41393, dst 15725, status Complete, result count 2204970, preprocessing time 0.009948 seconds, query time 0.062929 seconds,
ID 74, src 52454, dst 20742, status Complete, result count 41711, preprocessing time 0.005816 seconds, query time 0.006961 seconds,
ID 75, src 25176, dst 29088, status Complete, result count 188767, preprocessing time 0.008034 seconds, query time 0.019110 seconds,
ID 76, src 6713, dst 50133, status Complete, result count 381790, preprocessing time 0.008133 seconds, query time 0.023754 seconds,
ID 77, src 30463, dst 36510, status Complete, result count 93680, preprocessing time 0.007612 seconds, query time 0.011737 seconds,
ID 78, src 42307, dst 5201, status Complete, result count 1660695, preprocessing time 0.008078 seconds, query time 0.047127 seconds,
ID 79, src 19065, dst 19354, status Complete, result count 5397883, preprocessing time 0.011797 seconds, query time 0.187325 seconds,
ID 80, src 27667, dst 35621, status Complete, result count 3780701, preprocessing time 0.010929 seconds, query time 0.128398 seconds,
ID 81, src 70190, dst 63098, status Complete, result count 1, preprocessing time 0.000013 seconds, query time 0.000016 seconds,
ID 82, src 16214, dst 49292, status Complete, result count 211210, preprocessing time 0.008968 seconds, query time 0.016421 seconds,
ID 83, src 75508, dst 73516, status Complete, result count 1, preprocessing time 0.000008 seconds, query time 0.000011 seconds,
ID 84, src 54384, dst 19596, status Complete, result count 228311, preprocessing time 0.008903 seconds, query time 0.016689 seconds,
ID 85, src 51405, dst 38642, status Complete, result count 7880, preprocessing time 0.004586 seconds, query time 0.004877 seconds,
ID 86, src 36172, dst 29017, status Complete, result count 74599, preprocessing time 0.006886 seconds, query time 0.009444 seconds,
ID 87, src 73302, dst 42951, status Complete, result count 221275, preprocessing time 0.008117 seconds, query time 0.016341 seconds,
ID 88, src 9468, dst 34585, status Complete, result count 9420886, preprocessing time 0.009577 seconds, query time 0.311431 seconds,
ID 89, src 70123, dst 26349, status Complete, result count 140605, preprocessing time 0.007089 seconds, query time 0.010911 seconds,
ID 90, src 17648, dst 43001, status Complete, result count 255364, preprocessing time 0.007757 seconds, query time 0.018130 seconds,
ID 91, src 9080, dst 26150, status Complete, result count 34403819, preprocessing time 0.012743 seconds, query time 0.967086 seconds,
ID 92, src 44797, dst 42792, status Complete, result count 42314, preprocessing time 0.008788 seconds, query time 0.010626 seconds,
ID 93, src 39989, dst 36160, status Complete, result count 72032, preprocessing time 0.007493 seconds, query time 0.010700 seconds,
ID 94, src 31620, dst 45574, status Complete, result count 437573, preprocessing time 0.009434 seconds, query time 0.027313 seconds,
ID 95, src 20217, dst 20991, status Complete, result count 1002436, preprocessing time 0.009633 seconds, query time 0.048735 seconds,
ID 96, src 41466, dst 74159, status Complete, result count 2139249, preprocessing time 0.008934 seconds, query time 0.077404 seconds,
ID 97, src 63783, dst 37359, status Complete, result count 33103, preprocessing time 0.007196 seconds, query time 0.008792 seconds,
ID 98, src 63441, dst 19841, status Complete, result count 116114, preprocessing time 0.006049 seconds, query time 0.008831 seconds,
