---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 18932, dst 4332, status Complete, result count 69291917, preprocessing time 0.019562 seconds, query time 1.538442 seconds,
ID 53, src 37343, dst 8550, status Complete, result count 567119, preprocessing time 0.011102 seconds, query time 0.024758 seconds,
ID 54, src 64409, dst 1306, status Complete, result count 1003465, preprocessing time 0.009150 seconds, query time 0.027307 seconds,
ID 55, src 49177, dst 8684, status Complete, result count 1381749, preprocessing time 0.011419 seconds, query time 0.043701 seconds,
ID 56, src 27109, dst 20097, status Complete, result count 8914805, preprocessing time 0.013178 seconds, query time 0.295486 seconds,
ID 57, src 52578, dst 20434, status Complete, result count 830115, preprocessing time 0.011158 seconds, query time 0.027004 seconds,
ID 58, src 26029, dst 2080, status Complete, result count 379262373, preprocessing time 0.015492 seconds, query time 8.035017 seconds,
ID 59, src 30634, dst 1107, status Complete, result count 5556214, preprocessing time 0.010821 seconds, query time 0.121746 seconds,
ID 60, src 46033, dst 14457, status Complete, result count 254304, preprocessing time 0.009812 seconds, query time 0.016344 seconds,
ID 61, src 65430, dst 7804, status Complete, result count 59029, preprocessing time 0.006046 seconds, query time 0.007340 seconds,
ID 62, src 45210, dst 6486, status Complete, result count 24673, preprocessing time 0.006727 seconds, query time 0.007526 seconds,
ID 63, src 53482, dst 7070, status Complete, result count 1976569, preprocessing time 0.012420 seconds, query time 0.053879 seconds,
ID 64, src 17872, dst 15865, status Complete, result count 20588914, preprocessing time 0.013464 seconds, query time 0.468688 seconds,
ID 65, src 7540, dst 9284, status Complete, result count 1780146, preprocessing time 0.010393 seconds, query time 0.067001 seconds,
ID 66, src 43614, dst 2205, status Complete, result count 11854706, preprocessing time 0.013919 seconds, query time 0.244354 seconds,
ID 67, src 47787, dst 1224, status Complete, result count 143906291, preprocessing time 0.016317 seconds, query time 1.193725 seconds,
ID 68, src 39696, dst 33240, status Complete, result count 1442964, preprocessing time 0.011250 seconds, query time 0.058905 seconds,
ID 69, src 23363, dst 2542, status Complete, result count 25208331, preprocessing time 0.015241 seconds, query time 0.562915 seconds,
ID 70, src 61616, dst 287, status Complete, result count 5714432, preprocessing time 0.011196 seconds, query time 0.093233 seconds,
ID 71, src 70566, dst 6870, status Complete, result count 2844, preprocessing time 0.002737 seconds, query time 0.002800 seconds,
ID 72, src 42234, dst 1119, status Complete, result count 9493980, preprocessing time 0.012927 seconds, query time 0.187687 seconds,
ID 73, src 37427, dst 5050, status Complete, result count 48273, preprocessing time 0.007971 seconds, query time 0.009303 seconds,
ID 74, src 41279, dst 1394, status Complete, result count 187337623, preprocessing time 0.018342 seconds, query time 3.364766 seconds,
ID 75, src 17697, dst 1185, status Complete, result count 778093172, preprocessing time 0.022357 seconds, query time 6.616679 seconds,
ID 76, src 10151, dst 2990, status Complete, result count 404673323, preprocessing time 0.019575 seconds, query time 6.916057 seconds,
ID 77, src 14766, dst 4056, status Complete, result count 12254972, preprocessing time 0.014561 seconds, query time 0.303667 seconds,
ID 78, src 3319, dst 11313, status Complete, result count 36372535, preprocessing time 0.014560 seconds, query time 0.895429 seconds,
ID 79, src 28944, dst 7913, status Complete, result count 16937956, preprocessing time 0.014394 seconds, query time 0.414687 seconds,
ID 80, src 75073, dst 115, status Complete, result count 288989048, preprocessing time 0.016848 seconds, query time 2.787997 seconds,
ID 81, src 17143, dst 6808, status Complete, result count 67276237, preprocessing time 0.015558 seconds, query time 1.519708 seconds,
ID 82, src 21144, dst 11863, status Complete, result count 26034030, preprocessing time 0.014323 seconds, query time 0.657543 seconds,
ID 83, src 63600, dst 12551, status Complete, result count 97635274, preprocessing time 0.014659 seconds, query time 1.505718 seconds,
ID 84, src 30935, dst 11637, status Complete, result count 4823071, preprocessing time 0.013991 seconds, query time 0.128878 seconds,
ID 85, src 46027, dst 14594, status Complete, result count 438685, preprocessing time 0.010569 seconds, query time 0.020427 seconds,
ID 86, src 51732, dst 13263, status Complete, result count 1, preprocessing time 0.000019 seconds, query time 0.000023 seconds,
ID 87, src 42559, dst 10701, status Complete, result count 2571762, preprocessing time 0.013223 seconds, query time 0.075502 seconds,
ID 88, src 21780, dst 19360, status Complete, result count 47631654, preprocessing time 0.015132 seconds, query time 1.231026 seconds,
ID 89, src 7818, dst 3978, status Complete, result count 123909724, preprocessing time 0.015508 seconds, query time 2.716144 seconds,
ID 90, src 28979, dst 3181, status Complete, result count 219538366, preprocessing time 0.016730 seconds, query time 2.669248 seconds,
ID 91, src 40543, dst 763, status Complete, result count 122452218, preprocessing time 0.018253 seconds, query time 1.854863 seconds,
ID 92, src 31061, dst 12949, status Complete, result count 1514230, preprocessing time 0.012402 seconds, query time 0.048569 seconds,
ID 93, src 66430, dst 6953, status Complete, result count 108847, preprocessing time 0.007041 seconds, query time 0.008987 seconds,
ID 94, src 26815, dst 4329, status Complete, result count 133462610, preprocessing time 0.015709 seconds, query time 2.298154 seconds,
ID 95, src 21910, dst 6609, status Complete, result count 3384524, preprocessing time 0.014202 seconds, query time 0.085012 seconds,
ID 96, src 41648, dst 3886, status Complete, result count 377598, preprocessing time 0.011462 seconds, query time 0.020042 seconds,
ID 97, src 65914, dst 8136, status Complete, result count 83876, preprocessing time 0.007217 seconds, query time 0.009167 seconds,
ID 98, src 57246, dst 4201, status Complete, result count 883908, preprocessing time 0.010006 seconds, query time 0.031406 seconds,
ID 99, src 26041, dst 16035, status Complete, result count 72940, preprocessing time 0.008777 seconds, query time 0.011453 seconds,
ID 100, src 45849, dst 9258, status Complete, result count 49519001, preprocessing time 0.016232 seconds, query time 1.135196 seconds,
ID 101, src 42102, dst 7793, status Complete, result count 8661366, preprocessing time 0.014722 seconds, query time 0.203012 seconds,
ID 102, src 57814, dst 6054, status Complete, result count 77435, preprocessing time 0.007305 seconds, query time 0.009039 seconds,
ID 103, src 27258, dst 293, status Complete, result count 37836075, preprocessing time 0.013408 seconds, query time 0.628956 seconds,
ID 104, src 26102, dst 6941, status Complete, result count 41427928, preprocessing time 0.015272 seconds, query time 0.897017 seconds,
ID 105, src 6009, dst 122, status Complete, result count 2390139479, preprocessing time 0.019443 seconds, query time 12.304783 seconds,
ID 106, src 15786, dst 3582, status Complete, result count 119205908, preprocessing time 0.019156 seconds, query time 2.652256 seconds,
ID 107, src 14013, dst 5782, status Complete, result count 4111862, preprocessing time 0.013034 seconds, query time 0.114756 seconds,
ID 108, src 66424, dst 71424, status Complete, result count 9047, preprocessing time 0.005186 seconds, query time 0.005494 seconds,
ID 109, src 56229, dst 5202, status Complete, result count 41379, preprocessing time 0.006036 seconds, query time 0.007091 seconds,
ID 110, src 47684, dst 17687, status Complete, result count 157897, preprocessing time 0.006971 seconds, query time 0.010639 seconds,
ID 111, src 25385, dst 1368, status Complete, result count 330560671, preprocessing time 0.018610 seconds, query time 5.651642 seconds,
ID 112, src 48435, dst 484, status Complete, result count 58698, preprocessing time 0.007679 seconds, query time 0.009193 seconds,
ID 113, src 30462, dst 3415, status Complete, result count 22830411, preprocessing time 0.014192 seconds, query time 0.488192 seconds,
ID 114, src 4738, dst 2440, status Complete, result count 391150212, preprocessing time 0.018755 seconds, query time 7.142797 seconds,
ID 115, src 36201, dst 8248, status Complete, result count 29344911, preprocessing time 0.014679 seconds, query time 0.671038 seconds,
ID 116, src 6550, dst 2006, status Complete, result count 1143602272, preprocessing time 0.018012 seconds, query time 20.245001 seconds,
ID 117, src 61909, dst 24675, status Complete, result count 530537, preprocessing time 0.012577 seconds, query time 0.028815 seconds,
ID 118, src 9417, dst 3576, status Complete, result count 425701513, preprocessing time 0.016522 seconds, query time 9.391898 seconds,
ID 119, src 74772, dst 21012, status Complete, result count 1854671, preprocessing time 0.012004 seconds, query time 0.069338 seconds,
ID 120, src 4812, dst 11915, status Complete, result count 167501456, preprocessing time 0.016530 seconds, query time 3.724379 seconds,
ID 121, src 73384, dst 10109, status Complete, result count 97663536, preprocessing time 0.019212 seconds, query time 2.039960 seconds,
ID 122, src 7005, dst 16591, status Complete, result count 44359294, preprocessing time 0.015443 seconds, query time 1.255014 seconds,
ID 123, src 24038, dst 9333, status Complete, result count 13741871, preprocessing time 0.015414 seconds, query time 0.325792 seconds,
ID 124, src 26092, dst 2615, status Complete, result count 205619508, preprocessing time 0.015268 seconds, query time 3.873819 seconds,
ID 125, src 35722, dst 7652, status Complete, result count 10051438, preprocessing time 0.012884 seconds, query time 0.236893 seconds,
ID 126, src 13606, dst 51, status Complete, result count 11032192314, preprocessing time 0.019743 seconds, query time 48.860916 seconds,
ID 127, src 63908, dst 6683, status Complete, result count 33638, preprocessing time 0.013261 seconds, query time 0.014209 seconds,
ID 128, src 38929, dst 7074, status Complete, result count 3937617, preprocessing time 0.013903 seconds, query time 0.112477 seconds,
ID 129, src 40685, dst 1779, status Complete, result count 52575589, preprocessing time 0.014199 seconds, query time 1.103764 seconds,
ID 130, src 15856, dst 1359, status Complete, result count 80818490, preprocessing time 0.013749 seconds, query time 1.557407 seconds,
ID 131, src 47180, dst 4983, status Complete, result count 2148773, preprocessing time 0.012416 seconds, query time 0.064953 seconds,
ID 132, src 7037, dst 11231, status Complete, result count 11276195, preprocessing time 0.012854 seconds, query time 0.352146 seconds,
ID 133, src 31800, dst 653, status Complete, result count 582249637, preprocessing time 0.017295 seconds, query time 5.725049 seconds,
ID 134, src 2596, dst 1352, status Complete, result count 181234431, preprocessing time 0.016156 seconds, query time 4.088084 seconds,
ID 135, src 49400, dst 3986, status Complete, result count 831889, preprocessing time 0.010133 seconds, query time 0.025356 seconds,
ID 136, src 68187, dst 8613, status Complete, result count 22004, preprocessing time 0.005070 seconds, query time 0.005614 seconds,
ID 137, src 30834, dst 8488, status Complete, result count 3187747, preprocessing time 0.011216 seconds, query time 0.088058 seconds,
ID 138, src 46375, dst 4851, status Complete, result count 1516711, preprocessing time 0.010084 seconds, query time 0.046286 seconds,
ID 139, src 41386, dst 14559, status Complete, result count 19161751, preprocessing time 0.013533 seconds, query time 0.411178 seconds,
ID 140, src 50724, dst 4554, status Complete, result count 2853348, preprocessing time 0.012122 seconds, query time 0.077741 seconds,
ID 141, src 29054, dst 14849, status Complete, result count 29167779, preprocessing time 0.013526 seconds, query time 0.675537 seconds,
ID 142, src 9721, dst 4530, status Complete, result count 59273283, preprocessing time 0.013088 seconds, query time 1.235513 seconds,
ID 143, src 20476, dst 1431, status Complete, result count 63470832, preprocessing time 0.015444 seconds, query time 1.288689 seconds,
ID 144, src 5858, dst 320, status Complete, result count 867479395, preprocessing time 0.015015 seconds, query time 5.738594 seconds,
ID 145, src 26708, dst 10700, status Complete, result count 77678530, preprocessing time 0.015616 seconds, query time 1.843542 seconds,
ID 146, src 52970, dst 2307, status Complete, result count 1234591, preprocessing time 0.010246 seconds, query time 0.036285 seconds,
ID 147, src 38325, dst 9397, status Complete, result count 129557891, preprocessing time 0.014965 seconds, query time 2.127935 seconds,
ID 148, src 43393, dst 3547, status Complete, result count 31047, preprocessing time 0.005354 seconds, query time 0.006016 seconds,
ID 149, src 32645, dst 9165, status Complete, result count 6983837, preprocessing time 0.012756 seconds, query time 0.155029 seconds,
ID 150, src 15070, dst 9124, status Complete, result count 35041684, preprocessing time 0.013050 seconds, query time 0.845199 seconds,
ID 151, src 51229, dst 12907, status Complete, result count 3290198, preprocessing time 0.012780 seconds, query time 0.075015 seconds,
ID 152, src 33566, dst 900, status Complete, result count 1086547, preprocessing time 0.009273 seconds, query time 0.037784 seconds,
ID 153, src 41074, dst 12763, status Complete, result count 21185, preprocessing time 0.005755 seconds, query time 0.006400 seconds,
ID 154, src 4726, dst 14108, status Complete, result count 407014587, preprocessing time 0.016333 seconds, query time 7.948615 seconds,
ID 155, src 68389, dst 11191, status Complete, result count 51138, preprocessing time 0.006575 seconds, query time 0.007833 seconds,
ID 156, src 58574, dst 395, status Complete, result count 141311259, preprocessing time 0.014188 seconds, query time 0.724393 seconds,
ID 157, src 35552, dst 3588, status Complete, result count 4765080, preprocessing time 0.012187 seconds, query time 0.119294 seconds,
ID 158, src 39746, dst 25389, status Complete, result count 2485698, preprocessing time 0.010550 seconds, query time 0.068883 seconds,
ID 159, src 56257, dst 10552, status Complete, result count 113390, preprocessing time 0.008102 seconds, query time 0.011814 seconds,
ID 160, src 46200, dst 20622, status Complete, result count 52428, preprocessing time 0.006696 seconds, query time 0.008176 seconds,
ID 161, src 44389, dst 1398, status Complete, result count 98928312, preprocessing time 0.013169 seconds, query time 0.576569 seconds,
ID 162, src 49750, dst 11242, status Complete, result count 24543555, preprocessing time 0.013011 seconds, query time 0.557654 seconds,
ID 163, src 5455, dst 581, status Complete, result count 962350724, preprocessing time 0.014646 seconds, query time 11.857835 seconds,
ID 164, src 15616, dst 7111, status Complete, result count 765696, preprocessing time 0.010518 seconds, query time 0.036850 seconds,
ID 165, src 25112, dst 3797, status Complete, result count 2911081, preprocessing time 0.010447 seconds, query time 0.082626 seconds,
ID 166, src 70154, dst 787, status Complete, result count 19614, preprocessing time 0.004675 seconds, query time 0.004944 seconds,
ID 167, src 10225, dst 9534, status Complete, result count 278547911, preprocessing time 0.016535 seconds, query time 6.111341 seconds,
ID 168, src 73378, dst 15081, status Complete, result count 46343739, preprocessing time 0.016401 seconds, query time 1.174927 seconds,
ID 169, src 32047, dst 3062, status Complete, result count 43059125, preprocessing time 0.013539 seconds, query time 0.573606 seconds,
ID 170, src 59973, dst 8738, status Complete, result count 3950953, preprocessing time 0.012587 seconds, query time 0.100151 seconds,
ID 171, src 53322, dst 29187, status Complete, result count 720925, preprocessing time 0.009085 seconds, query time 0.025749 seconds,
ID 172, src 37052, dst 195, status Complete, result count 1061289159, preprocessing time 0.015932 seconds, query time 5.763755 seconds,
ID 173, src 5352, dst 9331, status Complete, result count 26694764, preprocessing time 0.014129 seconds, query time 0.637053 seconds,
ID 174, src 47204, dst 8280, status Complete, result count 71063, preprocessing time 0.007458 seconds, query time 0.008748 seconds,
ID 175, src 32656, dst 20751, status Complete, result count 458627, preprocessing time 0.009289 seconds, query time 0.022234 seconds,
ID 176, src 27588, dst 3483, status Complete, result count 54965226, preprocessing time 0.014165 seconds, query time 0.779369 seconds,
ID 177, src 4541, dst 5223, status Complete, result count 36605944, preprocessing time 0.014402 seconds, query time 0.888612 seconds,
ID 178, src 7270, dst 19787, status Complete, result count 8442198, preprocessing time 0.012787 seconds, query time 0.301262 seconds,
ID 179, src 41297, dst 5785, status Complete, result count 48553, preprocessing time 0.006151 seconds, query time 0.008231 seconds,
ID 180, src 25413, dst 11335, status Complete, result count 4249813, preprocessing time 0.011619 seconds, query time 0.113767 seconds,
ID 181, src 40768, dst 18187, status Complete, result count 11502560, preprocessing time 0.012266 seconds, query time 0.273125 seconds,
ID 182, src 62191, dst 3525, status Complete, result count 41914, preprocessing time 0.005290 seconds, query time 0.006266 seconds,
ID 183, src 41881, dst 20347, status Complete, result count 466380, preprocessing time 0.009171 seconds, query time 0.021102 seconds,
ID 184, src 25969, dst 18887, status Complete, result count 2427952, preprocessing time 0.009833 seconds, query time 0.084084 seconds,
ID 185, src 53389, dst 2848, status Complete, result count 1025589, preprocessing time 0.008329 seconds, query time 0.029437 seconds,
ID 186, src 28933, dst 7749, status Complete, result count 15439091, preprocessing time 0.011745 seconds, query time 0.386485 seconds,
ID 187, src 58605, dst 19291, status Complete, result count 47947, preprocessing time 0.007026 seconds, query time 0.008371 seconds,
ID 188, src 40035, dst 669, status Complete, result count 339693367, preprocessing time 0.016372 seconds, query time 3.952721 seconds,
ID 189, src 27506, dst 3426, status Complete, result count 28204676, preprocessing time 0.014490 seconds, query time 0.713409 seconds,
ID 190, src 23607, dst 20833, status Complete, result count 35778360, preprocessing time 0.015233 seconds, query time 0.854642 seconds,
ID 191, src 20318, dst 18993, status Complete, result count 31034165, preprocessing time 0.013951 seconds, query time 0.822305 seconds,
ID 192, src 51669, dst 225, status Complete, result count 30154015, preprocessing time 0.011920 seconds, query time 0.153879 seconds,
ID 193, src 35648, dst 71394, status Complete, result count 2580627, preprocessing time 0.010244 seconds, query time 0.066161 seconds,
ID 194, src 68366, dst 965, status Complete, result count 2578347692, preprocessing time 0.015314 seconds, query time 15.242763 seconds,
ID 195, src 34941, dst 2303, status Complete, result count 133559633, preprocessing time 0.015356 seconds, query time 1.049886 seconds,
ID 196, src 53294, dst 20211, status Complete, result count 237690, preprocessing time 0.009813 seconds, query time 0.016186 seconds,
ID 197, src 46232, dst 19017, status Complete, result count 3635172, preprocessing time 0.012162 seconds, query time 0.100925 seconds,
ID 198, src 75676, dst 406, status Complete, result count 753690, preprocessing time 0.007305 seconds, query time 0.018165 seconds,
ID 199, src 66790, dst 6138, status Complete, result count 49047, preprocessing time 0.005068 seconds, query time 0.006041 seconds,
ID 200, src 52011, dst 4702, status Complete, result count 1449136, preprocessing time 0.009402 seconds, query time 0.042158 seconds,
ID 201, src 17255, dst 14572, status Complete, result count 17031676, preprocessing time 0.014061 seconds, query time 0.394993 seconds,
ID 202, src 52012, dst 4036, status Complete, result count 1119303, preprocessing time 0.010037 seconds, query time 0.034795 seconds,
ID 203, src 22267, dst 3520, status Complete, result count 756465, preprocessing time 0.009051 seconds, query time 0.022681 seconds,
ID 204, src 56096, dst 7082, status Complete, result count 29229, preprocessing time 0.005958 seconds, query time 0.006758 seconds,
ID 205, src 35912, dst 363, status Complete, result count 11542487, preprocessing time 0.011486 seconds, query time 0.244656 seconds,
ID 206, src 24873, dst 32683, status Complete, result count 9822520, preprocessing time 0.011830 seconds, query time 0.228648 seconds,
ID 207, src 34110, dst 5222, status Complete, result count 1663206, preprocessing time 0.011216 seconds, query time 0.058183 seconds,
ID 208, src 45498, dst 11259, status Complete, result count 5340933, preprocessing time 0.011221 seconds, query time 0.137726 seconds,
ID 209, src 19248, dst 3656, status Complete, result count 119312179, preprocessing time 0.013642 seconds, query time 3.423015 seconds,
ID 210, src 38860, dst 3440, status Complete, result count 585954392, preprocessing time 0.015522 seconds, query time 7.577277 seconds,
ID 211, src 33203, dst 2214, status Complete, result count 4418419, preprocessing time 0.011789 seconds, query time 0.109601 seconds,
ID 212, src 50067, dst 1083, status Complete, result count 11816910, preprocessing time 0.011356 seconds, query time 0.161759 seconds,
ID 213, src 4935, dst 2426, status Complete, result count 1204316122, preprocessing time 0.014025 seconds, query time 25.073812 seconds,
ID 214, src 69530, dst 6686, status Complete, result count 13547, preprocessing time 0.004958 seconds, query time 0.005305 seconds,
ID 215, src 27656, dst 249, status Complete, result count 1307750349, preprocessing time 0.016931 seconds, query time 8.227674 seconds,
ID 216, src 67656, dst 4389, status Complete, result count 1423861, preprocessing time 0.010274 seconds, query time 0.038497 seconds,
ID 217, src 54371, dst 1734, status Complete, result count 26296, preprocessing time 0.005291 seconds, query time 0.006036 seconds,
ID 218, src 30710, dst 6042, status Complete, result count 1001436, preprocessing time 0.009894 seconds, query time 0.035638 seconds,
ID 219, src 17216, dst 6281, status Complete, result count 137100080, preprocessing time 0.014555 seconds, query time 2.647774 seconds,
ID 220, src 70079, dst 1786, status Complete, result count 5738, preprocessing time 0.003382 seconds, query time 0.003526 seconds,
ID 221, src 50314, dst 1132, status Complete, result count 824167, preprocessing time 0.008918 seconds, query time 0.027100 seconds,
ID 222, src 48153, dst 8513, status Complete, result count 7406408, preprocessing time 0.010252 seconds, query time 0.186825 seconds,
ID 223, src 62630, dst 9084, status Complete, result count 181256, preprocessing time 0.007368 seconds, query time 0.011345 seconds,
ID 224, src 37987, dst 17074, status Complete, result count 9517006, preprocessing time 0.013010 seconds, query time 0.191964 seconds,
