---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5011, dst 42727, status Complete, result count 15345153, preprocessing time 0.017236 seconds, query time 0.587753 seconds,
ID 53, src 1575, dst 74180, status Complete, result count 50293403, preprocessing time 0.013611 seconds, query time 1.639613 seconds,
ID 54, src 567, dst 14477, status Complete, result count 150712536, preprocessing time 0.015770 seconds, query time 4.052050 seconds,
ID 55, src 1629, dst 57668, status Complete, result count 10596674, preprocessing time 0.017233 seconds, query time 0.472323 seconds,
ID 56, src 13059, dst 25599, status Complete, result count 3572306, preprocessing time 0.010305 seconds, query time 0.128475 seconds,
ID 57, src 7512, dst 37971, status Complete, result count 5712513, preprocessing time 0.012490 seconds, query time 0.204479 seconds,
ID 58, src 510, dst 62446, status Complete, result count 65750, preprocessing time 0.006992 seconds, query time 0.010644 seconds,
ID 59, src 2144, dst 48489, status Complete, result count 21353986, preprocessing time 0.010906 seconds, query time 0.886337 seconds,
ID 60, src 19734, dst 61378, status Complete, result count 315801, preprocessing time 0.008429 seconds, query time 0.024944 seconds,
ID 61, src 3773, dst 29937, status Complete, result count 27349365, preprocessing time 0.011930 seconds, query time 0.896491 seconds,
ID 62, src 6740, dst 5620, status Complete, result count 196813901, preprocessing time 0.015289 seconds, query time 4.749418 seconds,
ID 63, src 3996, dst 35307, status Complete, result count 13427460, preprocessing time 0.016276 seconds, query time 0.503156 seconds,
ID 64, src 7614, dst 16631, status Complete, result count 87749781, preprocessing time 0.016379 seconds, query time 2.221731 seconds,
ID 65, src 4432, dst 55865, status Complete, result count 1484, preprocessing time 0.004062 seconds, query time 0.004210 seconds,
ID 66, src 1269, dst 63002, status Complete, result count 42926, preprocessing time 0.006773 seconds, query time 0.009523 seconds,
ID 67, src 2051, dst 35022, status Complete, result count 101480226, preprocessing time 0.015539 seconds, query time 3.740232 seconds,
ID 68, src 13046, dst 63883, status Complete, result count 48221, preprocessing time 0.008540 seconds, query time 0.011184 seconds,
ID 69, src 4881, dst 54157, status Complete, result count 60470, preprocessing time 0.006454 seconds, query time 0.009854 seconds,
ID 70, src 784, dst 25138, status Complete, result count 236309230, preprocessing time 0.015206 seconds, query time 6.108850 seconds,
ID 71, src 908, dst 9608, status Complete, result count 5678787, preprocessing time 0.012388 seconds, query time 0.230772 seconds,
ID 72, src 6368, dst 21211, status Complete, result count 820967, preprocessing time 0.009529 seconds, query time 0.043942 seconds,
ID 73, src 15818, dst 14709, status Complete, result count 1841610, preprocessing time 0.011861 seconds, query time 0.092271 seconds,
ID 74, src 5095, dst 50407, status Complete, result count 10879542, preprocessing time 0.012973 seconds, query time 0.468449 seconds,
ID 75, src 7488, dst 61375, status Complete, result count 585944, preprocessing time 0.009270 seconds, query time 0.038784 seconds,
ID 76, src 71430, dst 42916, status Complete, result count 367388, preprocessing time 0.009111 seconds, query time 0.024260 seconds,
ID 77, src 2151, dst 54444, status Complete, result count 7557570, preprocessing time 0.010606 seconds, query time 0.349629 seconds,
ID 78, src 18277, dst 22993, status Complete, result count 74587, preprocessing time 0.007960 seconds, query time 0.012257 seconds,
ID 79, src 7872, dst 30819, status Complete, result count 429549513, preprocessing time 0.017231 seconds, query time 11.879540 seconds,
ID 80, src 19286, dst 32676, status Complete, result count 4511866, preprocessing time 0.013911 seconds, query time 0.172524 seconds,
ID 81, src 71401, dst 58632, status Complete, result count 9454338, preprocessing time 0.013923 seconds, query time 0.398032 seconds,
ID 82, src 13861, dst 18801, status Complete, result count 2012004, preprocessing time 0.010694 seconds, query time 0.090362 seconds,
ID 83, src 6014, dst 40645, status Complete, result count 110743334, preprocessing time 0.016227 seconds, query time 4.137430 seconds,
ID 84, src 14897, dst 44400, status Complete, result count 626388, preprocessing time 0.011200 seconds, query time 0.037848 seconds,
ID 85, src 3425, dst 71655, status Complete, result count 98672860, preprocessing time 0.014445 seconds, query time 3.031960 seconds,
ID 86, src 6684, dst 9000, status Complete, result count 271119469, preprocessing time 0.017137 seconds, query time 6.636259 seconds,
ID 87, src 11637, dst 33466, status Complete, result count 4146098, preprocessing time 0.011624 seconds, query time 0.167338 seconds,
ID 88, src 4571, dst 45196, status Complete, result count 8792503, preprocessing time 0.012798 seconds, query time 0.366046 seconds,
ID 89, src 1874, dst 23128, status Complete, result count 763573484, preprocessing time 0.017985 seconds, query time 19.457959 seconds,
ID 90, src 1879, dst 25203, status Complete, result count 16389028, preprocessing time 0.014940 seconds, query time 0.591437 seconds,
ID 91, src 3360, dst 54804, status Complete, result count 1075082, preprocessing time 0.010954 seconds, query time 0.061993 seconds,
ID 92, src 10281, dst 19814, status Complete, result count 726959113, preprocessing time 0.016852 seconds, query time 18.119969 seconds,
ID 93, src 8166, dst 32379, status Complete, result count 33073705, preprocessing time 0.015138 seconds, query time 0.938531 seconds,
ID 94, src 12571, dst 21860, status Complete, result count 549805, preprocessing time 0.010890 seconds, query time 0.028201 seconds,
ID 95, src 6391, dst 59207, status Complete, result count 1530361, preprocessing time 0.010100 seconds, query time 0.082293 seconds,
ID 96, src 7252, dst 67693, status Complete, result count 616898, preprocessing time 0.010182 seconds, query time 0.043215 seconds,
ID 97, src 25785, dst 40870, status Complete, result count 1807506, preprocessing time 0.010209 seconds, query time 0.083702 seconds,
ID 98, src 19806, dst 21682, status Complete, result count 5210674, preprocessing time 0.012097 seconds, query time 0.187263 seconds,
ID 99, src 1961, dst 30392, status Complete, result count 2511484, preprocessing time 0.011431 seconds, query time 0.126002 seconds,
ID 100, src 6004, dst 8197, status Complete, result count 171665436, preprocessing time 0.016429 seconds, query time 4.900367 seconds,
ID 101, src 390, dst 56159, status Complete, result count 197349, preprocessing time 0.009233 seconds, query time 0.019289 seconds,
ID 102, src 1741, dst 75128, status Complete, result count 12559761, preprocessing time 0.012910 seconds, query time 0.565340 seconds,
ID 103, src 6144, dst 62645, status Complete, result count 8549, preprocessing time 0.004788 seconds, query time 0.005398 seconds,
ID 104, src 391, dst 15558, status Complete, result count 58416692, preprocessing time 0.012094 seconds, query time 1.877771 seconds,
ID 105, src 8173, dst 38139, status Complete, result count 5399878, preprocessing time 0.013401 seconds, query time 0.250798 seconds,
ID 106, src 1424, dst 32386, status Complete, result count 24197602, preprocessing time 0.012314 seconds, query time 0.832525 seconds,
ID 107, src 19047, dst 65976, status Complete, result count 69111, preprocessing time 0.006455 seconds, query time 0.010225 seconds,
ID 108, src 588, dst 37510, status Complete, result count 2495771, preprocessing time 0.010272 seconds, query time 0.134893 seconds,
ID 109, src 8969, dst 28355, status Complete, result count 5277862, preprocessing time 0.012263 seconds, query time 0.248070 seconds,
ID 110, src 769, dst 30133, status Complete, result count 569724, preprocessing time 0.009629 seconds, query time 0.037545 seconds,
ID 111, src 4120, dst 31028, status Complete, result count 108243, preprocessing time 0.007206 seconds, query time 0.014157 seconds,
ID 112, src 4881, dst 21020, status Complete, result count 6298154, preprocessing time 0.010109 seconds, query time 0.249986 seconds,
ID 113, src 3837, dst 26153, status Complete, result count 87927653, preprocessing time 0.013448 seconds, query time 2.538291 seconds,
ID 114, src 16135, dst 72214, status Complete, result count 41056384, preprocessing time 0.014563 seconds, query time 1.027882 seconds,
ID 115, src 4558, dst 25622, status Complete, result count 109704156, preprocessing time 0.016134 seconds, query time 4.100731 seconds,
ID 116, src 5232, dst 49779, status Complete, result count 22344318, preprocessing time 0.017035 seconds, query time 0.900719 seconds,
ID 117, src 18511, dst 74944, status Complete, result count 1741166, preprocessing time 0.011965 seconds, query time 0.083264 seconds,
ID 118, src 9794, dst 14367, status Complete, result count 54836313, preprocessing time 0.013210 seconds, query time 1.699151 seconds,
