---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024793 seconds, query time 60.622541 seconds,
ID 24, src 610, dst 10566, status Complete, result count 611420038, preprocessing time 0.018538 seconds, query time 15.113317 seconds,
ID 25, src 8065, dst 2619, status Complete, result count 7315181150, preprocessing time 0.019047 seconds, query time 103.921202 seconds,
ID 26, src 7631, dst 10552, status Complete, result count 46725335, preprocessing time 0.017266 seconds, query time 1.516074 seconds,
ID 27, src 31604, dst 4016, status Complete, result count 52746999, preprocessing time 0.015008 seconds, query time 1.298605 seconds,
ID 28, src 20869, dst 7963, status Complete, result count 227923286, preprocessing time 0.016397 seconds, query time 5.358584 seconds,
ID 29, src 5142, dst 3173, status Complete, result count 1281281928, preprocessing time 0.019229 seconds, query time 16.729486 seconds,
ID 30, src 16377, dst 2150, status Complete, result count 237816217, preprocessing time 0.017609 seconds, query time 5.100852 seconds,
ID 31, src 4614, dst 5417, status Complete, result count 4196030810, preprocessing time 0.020652 seconds, query time 54.425318 seconds,
ID 32, src 7549, dst 1975, status Complete, result count 50991020484, preprocessing time 0.023063 seconds, query time 256.961891 seconds,
ID 33, src 5891, dst 28623, status Complete, result count 320992394, preprocessing time 0.020586 seconds, query time 8.428309 seconds,
ID 34, src 678, dst 24576, status Complete, result count 678883300, preprocessing time 0.017813 seconds, query time 12.812337 seconds,
ID 35, src 6731, dst 6514, status Complete, result count 110256913, preprocessing time 0.018610 seconds, query time 2.108274 seconds,
ID 36, src 3633, dst 3935, status Complete, result count 3067320317, preprocessing time 0.020105 seconds, query time 58.929913 seconds,
ID 37, src 34090, dst 1648, status Complete, result count 27864368, preprocessing time 0.017069 seconds, query time 0.568464 seconds,
ID 38, src 1733, dst 130, status Complete, result count 4150513277, preprocessing time 0.019890 seconds, query time 26.559518 seconds,
ID 39, src 2898, dst 18714, status Complete, result count 108572477, preprocessing time 0.017909 seconds, query time 3.130386 seconds,
ID 40, src 3173, dst 3227, status Complete, result count 10747032, preprocessing time 0.013486 seconds, query time 0.447506 seconds,
ID 41, src 1030, dst 16946, status Complete, result count 73356874, preprocessing time 0.014880 seconds, query time 2.131731 seconds,
ID 42, src 14078, dst 14002, status Complete, result count 204260805, preprocessing time 0.017922 seconds, query time 4.867550 seconds,
ID 43, src 10423, dst 8255, status Complete, result count 5047354, preprocessing time 0.013252 seconds, query time 0.191457 seconds,
ID 44, src 45435, dst 5264, status Complete, result count 43686105, preprocessing time 0.014491 seconds, query time 0.763958 seconds,
ID 45, src 16596, dst 21955, status Complete, result count 18502606, preprocessing time 0.014463 seconds, query time 0.495072 seconds,
ID 46, src 5667, dst 7743, status Complete, result count 2921531790, preprocessing time 0.018268 seconds, query time 70.104590 seconds,
ID 47, src 5608, dst 28527, status Complete, result count 385452091, preprocessing time 0.020261 seconds, query time 6.697867 seconds,
ID 48, src 10333, dst 11885, status Complete, result count 945645001, preprocessing time 0.019270 seconds, query time 21.507224 seconds,
ID 49, src 1349, dst 32900, status Complete, result count 53905649, preprocessing time 0.017406 seconds, query time 1.932846 seconds,
ID 50, src 654, dst 8784, status Complete, result count 6192911231, preprocessing time 0.020084 seconds, query time 121.283855 seconds,
ID 51, src 6101, dst 223, status Complete, result count 16334997582, preprocessing time 0.021813 seconds, query time 102.715463 seconds,
